business_id,review_count,stars,state
ZkzutF0P_u0C0yTulwaHkA,31,4.0,PA
OWkS1FXNJbozn-qPg3LWxg,11,4.5,NV
6GHwgKNlvfIMUpFaxgBjUA,9,4.0,QC
-C0AlwLuXpcP609madJZQQ,7,3.5,ON
39lLJK_rrYY2NYomSsQdUA,11,2.5,OH
0y6alZmSLnPzmG5_kP5Quw,21,4.5,OH
Yr_w9lakJrKMyEG_hI6zbA,141,4.0,NV
F7E3qP0oz_SuVGZGL0D8Zw,3,3.0,NV
YHWjW9GLcuNtnh_xdCSOeA,3,4.5,AZ
AN0bWhisCf6LN9eHZ7DQ3w,222,5.0,NV
MyiqKhZd8N08q9qilxRcPQ,5,4.0,NC
yG2PdMFn6y3QDw4Uq4b5lg,78,3.0,ON
0rMFhLzeq3Z2OaJ62MQXlw,14,4.0,ON
pL0KHtxw0Gg9dveFrOrkTg,3,3.5,AB
rOyzxtWGekcMBc4aNinZjg,13,3.0,ON
_Kp1IPTi17wBywYOd30raA,14,2.0,PA
1YC7AbQMlNb5mLUlwwaa3w,85,3.5,PA
4GNI7HWuzQkkPmPsgHxOtw,203,4.0,AZ
1JsD-_kMCC3jZOMzJIaigg,7,3.5,ON
oYCx5gO4KkkgYPnglSkk5g,20,3.0,ON
tpB9UQNi4xaec7jdZqh9cg,21,4.0,NC
5gl2GLgimBz1-Q-uXji_Rw,91,3.5,NC
crBw_Hq3gCkppirgjnIl4A,60,4.5,WI
nV0DXQHOZ-5ebM3-J8O-kw,12,3.0,NC
2z9SGvCiz5dtyWcr088ESw,6,4.0,QC
TP6hgLCNGkqjFne9nCfaiA,25,4.0,AZ
YOD9dXrnpu8HTRILpF0onw,297,4.0,AZ
cPNolx5Ae2znDZNA7GG5BQ,5,3.5,OH
THOZYeKWKyW_-6U30E1b5w,3,2.5,NV
7LzhLKAwS7PHUvaPIW833A,40,3.5,OH
_8I19IRzDXmMSRES9cEGlw,27,1.5,AZ
QLYGUCpHBHfc6T6UC1LdmA,20,4.0,QC
ijNQXC2cBhbkf6iB6D8OJw,68,3.0,PA
oaqbLDW3wNqkynlnp4mvlw,653,3.5,NV
ITc7sL3YYxHoQYoPNNH_GA,44,4.5,AZ
Wsb_rH2xNmMOdmzyb7eB7w,97,3.5,AZ
LTPcaw-_IqOfTSDxe8811A,16,3.0,PA
7-OCdlOQQCHAqYDI_elK6Q,33,3.5,WI
Vd9XJZ6A9PXS8S8hDPByHQ,29,3.0,AZ
00J65e-ewht6GZ9fXZdP1w,10,2.0,OH
tVyLQzyhhinKcGzlZIFZjQ,369,4.0,AZ
iiOpaR1Am7svS0SF_eBoOQ,69,4.0,NC
nY2oBwH3s5sKox1mERIoVQ,85,3.5,ON
JGbQOdAAqxEKlyJy07omuw,39,4.5,AZ
kUntNQ5P9IrRzEoHdRxV-w,103,3.0,NV
-8AoSGOdZyDdTpT2oqX3zQ,15,3.5,QC
91sdZ0d-5RMXNcBYB3uU0g,94,4.0,ON
isao1F5FW5kvQl402UlJ3g,4,3.0,OH
fhTTP5HRqOzmFw-31Qe7QA,4,2.0,OH
x1Cd2gSPZVeNxDPzzqlClQ,10,4.0,WI
IN8BHY7zkhjUxUh4qnbrHg,22,3.0,ON
aywCwIczds0RosdzqokZ8g,10,4.0,ON
niqIaJy9UXu-DS7BIUvUoA,115,3.5,AZ
MNaPOkqm2vKeNG8EqkZWCg,478,3.5,NV
4Vig7oCo9P-j2OnPUfaXCA,5,2.0,IL
FgrG3hzE8o5wXWn8GbP4ZQ,3,4.0,QC
wkzWdo1mBqbzR2KPoXtWZw,142,4.0,AZ
EwlA5wluJw5zzXxtA42brQ,5,4.0,ON
sytLExNDyQuELMDguVUqhA,3,2.0,OH
mSWNf1muSy9wgGtMRgt7Fg,25,3.5,OH
UT6L3b7Zll_nvRidijiDSA,773,4.0,NV
_3-gItHIdBvQ9XrDrIQLXg,3,2.5,PA
vK8Q6qHL9t9RpifSI69pCw,29,5.0,NV
8F9C5vhDlYphBWELUgLkvQ,94,3.0,AZ
g9CAs2KjZl2FIaCAYULMjg,3,3.0,ON
VR7vnIP0rg1teDUVp6L0qA,27,3.5,QC
2P1Rvd4IboY8z7oRoT8b8g,3,4.5,QC
LJyt1WlDeKWspiqljzIg7w,4,2.5,AZ
Grr2wJ3nYD_7qUyespDglA,197,4.5,ON
2PBPh8LTwt_mXP0GUYa9NQ,23,4.0,PA
N-U0o7hIKy3Z6KY_O4RuPg,32,3.0,ON
GW2_gqOhKQ7sI4oem6yP9w,18,3.5,AZ
1zl7-8t8jQ4NX29qRp8soA,28,4.5,PA
ERnG-1q3igX3VSgm5uLZ6A,77,4.0,ON
